,Mutation Value,Disease Implicated,Count
2810,C->T,"Recessive dystrophic epidermolysis bullosa, not provided",2
2811,C->T,Reduced antithrombin III activity,4
2812,C->T,"Renal cell carcinoma, papillary, 1, Von Hippel-Lindau syndrome, Hereditary cancer-predisposing syndrome, not provided",1
2813,C->T,Renal dysplasia,4
2814,C->T,Renal hamartomas nephroblastomatosis and fetal gigantism,1
2815,C->T,"Renal tubular acidosis, distal, with progressive deafness",1
2816,C->T,Renal-hepatic-pancreatic dysplasia,2
2817,C->T,Retinal dystrophy,1
2818,C->T,"Retinal dystrophy, Cone-rod dystrophy 21",2
2819,C->T,"Retinal dystrophy, Leber congenital amaurosis 2, Retinitis pigmentosa 20, not provided",1
2820,C->T,"Retinal dystrophy, Stargardt disease 1, Stargardt disease",1
2821,C->T,"Retinal dystrophy, Stargardt disease 1, not provided",2
2822,C->T,"Retinal dystrophy, Usher syndrome, type 2A, Retinitis pigmentosa 39",1
2823,C->T,"Retinal dystrophy, not provided",1
2824,C->T,Retinitis pigmentosa,2
2825,C->T,"Retinitis pigmentosa 12, not provided",1
2826,C->T,Retinitis pigmentosa 18,1
2827,C->T,"Retinitis pigmentosa 18, not provided",1
2828,C->T,Retinitis pigmentosa 38,2
2829,C->T,Retinitis pigmentosa 4,4
2830,C->T,"Retinitis pigmentosa 4, not provided",1
2831,C->T,Retinitis pigmentosa 54,1
2832,C->T,Retinitis pigmentosa 55,1
2833,C->T,Retinitis pigmentosa 68,1
2834,C->T,Retinitis pigmentosa 71,1
2835,C->T,Retinitis pigmentosa 75,1
2836,C->T,Retinitis pigmentosa 76,1
2837,C->T,"Retinitis pigmentosa, Blurred vision, Nyctalopia, Peripheral visual field loss, Retinitis pigmentosa 4, not provided",1
2838,C->T,"Retinitis pigmentosa, Retinitis punctata albescens, Retinitis pigmentosa 4, not provided",1
2839,C->T,"Retinitis pigmentosa, not provided",2
2840,C->T,"Rhabdomyolysis, Inborn genetic diseases, Carnitine palmitoyltransferase II deficiency, Carnitine palmitoyltransferase II deficiency, myopathic, stress-induced, Carnitine palmitoyltransferase II deficiency, infantile, Carnitine palmitoyltransferase II deficiency, lethal neonatal, Encephalopathy, acute, infection-induced, 4, susceptibility to, not provided",1
2841,C->T,Rhabdomyosarcoma,1
2842,C->T,Rhizomelic chondrodysplasia punctata type 2,1
2843,C->T,Rhizomelic chondrodysplasia punctata type 3,2
2844,C->T,Roifman syndrome,2
2845,C->T,Rolandic epilepsy,4
2846,C->T,"SCN2A-related condition, Epileptic encephalopathy, Benign familial neonatal-infantile seizures, Early infantile epileptic encephalopathy 11, not provided",1
2847,C->T,SKRABAN-DEARDORFF SYNDROME,1
2848,C->T,"SPERMATOGENIC FAILURE 18, Ciliary dyskinesia, primary, 37",2
2849,C->T,Salt and pepper developmental regression syndrome,3
2850,C->T,Schimke immunoosseous dysplasia,4
2851,C->T,Schneckenbecken dysplasia,1
2852,C->T,Schnyder crystalline corneal dystrophy,1
2853,C->T,Schwartz Jampel syndrome type 1,1
2854,C->T,SeSAME syndrome,1
2855,C->T,Secondary hypothyroidism,1
2856,C->T,"Seizures, Fatigue, Abnormal myelination",1
2857,C->T,Senior-Loken syndrome 7,1
2858,C->T,"Senior-Loken syndrome 7, Bardet-Biedl syndrome 16",1
2859,C->T,Senior-Loken syndrome 9,1
2860,C->T,Sepiapterin reductase deficiency,2
2861,C->T,"Sepiapterin reductase deficiency, not provided",1
2862,C->T,"Severe combined immunodeficiency, atypical",1
2863,C->T,"Severe congenital neutropenia 3, autosomal recessive",2
2864,C->T,"Severe congenital neutropenia, Severe congenital neutropenia 6, autosomal recessive",1
2865,C->T,Severe myoclonic epilepsy in infancy,16
2866,C->T,"Severe myoclonic epilepsy in infancy, Early infantile epileptic encephalopathy",1
2867,C->T,"Severe myoclonic epilepsy in infancy, Early infantile epileptic encephalopathy, not provided",6
2868,C->T,"Severe myoclonic epilepsy in infancy, not provided",8
2869,C->T,"Short stature, developmental delay, and congenital heart defects",1
2870,C->T,"Short stature, idiopathic, autosomal",1
2871,C->T,"Short stature, optic nerve atrophy, and Pelger-Huet anomaly, not provided",1
2872,C->T,Short-rib thoracic dysplasia 10 without polydactyly,1
2873,C->T,Short-rib thoracic dysplasia 15 with polydactyly,2
2874,C->T,"Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay",1
2875,C->T,"Singleton-Merten syndrome 1, not provided",1
2876,C->T,Sinoatrial node dysfunction and deafness,1
2877,C->T,Sitosterolemia,2
2878,C->T,"Situs inversus, Ciliary dyskinesia",1
2879,C->T,Small fiber neuropathy,1
2880,C->T,Smith-Kingsmore syndrome,2
2881,C->T,"Spastic paraparesis, Spastic paraplegia 4, autosomal dominant, not provided",1
2882,C->T,Spastic paraplegia 13,1
2883,C->T,"Spastic paraplegia 30, autosomal recessive, Hereditary sensory and autonomic neuropathy type IIC, Mental retardation, autosomal dominant 9, not provided",2
2884,C->T,"Spastic paraplegia 31, autosomal dominant",2
2885,C->T,"Spastic paraplegia 4, autosomal dominant",5
2886,C->T,"Spastic paraplegia 4, autosomal dominant, not provided",3
2887,C->T,"Spastic paraplegia 57, autosomal recessive",1
2888,C->T,"Spastic paraplegia, intellectual disability, nystagmus, and obesity",1
2889,C->T,Spinocerebellar ataxia 15,1
2890,C->T,Spinocerebellar ataxia 21,1
2891,C->T,Spinocerebellar ataxia autosomal recessive 4,2
2892,C->T,"Spinocerebellar ataxia, autosomal recessive 10",1
2893,C->T,"Spinocerebellar ataxia, autosomal recessive 24",1
2894,C->T,Spondylocarpotarsal synostosis syndrome,4
2895,C->T,Spondyloepimetaphyseal dysplasia with joint laxity,2
2896,C->T,Spondylometaepiphyseal dysplasia short limb-hand type,2
2897,C->T,Stargardt disease 1,6
2898,C->T,"Stargardt disease 1, Stargardt disease, Cone-rod dystrophy 3, Retinitis pigmentosa 19, not provided",1
2899,C->T,"Stargardt disease 1, not provided",9
2900,C->T,"Stickler syndrome, type 2, not provided",1
2901,C->T,Stomatin-deficient cryohydrocytosis with neurologic defects,1
2902,C->T,Stromme syndrome,2
2903,C->T,Sucrase-isomaltase deficiency,1
2904,C->T,"Surfactant metabolism dysfunction, pulmonary, 1",1
2905,C->T,Synpolydactyly 1,2
2906,C->T,"Thrombophilia, hereditary, due to protein C deficiency, autosomal dominant",4
2907,C->T,"Thrombophilia, hereditary, due to protein C deficiency, autosomal recessive",4
2908,C->T,Thyroid dysgenesis,2
2909,C->T,"Thyroid hormone resistance, generalized",1
2910,C->T,"Thyroid hormone resistance, generalized, autosomal dominant",7
2911,C->T,"Thyroid hormone resistance, generalized, autosomal dominant, Thyroid Hormone Resistance",1
2912,C->T,"Thyroid hormone resistance, generalized, autosomal dominant, not provided",2
2913,C->T,"Thyroid hormone resistance, selective pituitary",1
2914,C->T,Transient bullous dermolysis of the newborn,2
2915,C->T,Triglyceride storage disease with ichthyosis,1
2916,C->T,Trimethylaminuria,1
2917,C->T,Tumor susceptibility linked to germline BAP1 mutations,2
2918,C->T,"Tumoral calcinosis, familial, hyperphosphatemic",3
2919,C->T,Type A1 brachydactyly,4
2920,C->T,UDPglucose-4-epimerase deficiency,2
2921,C->T,"UNC80-Related Disorder, not provided",1
2922,C->T,Ulna and fibula absence of with severe limb deficiency,1
2923,C->T,Uncombable hair syndrome,1
2924,C->T,Urofacial syndrome 2,1
2925,C->T,"Usher syndrome, Usher syndrome, type 2A, Retinitis pigmentosa 39",1
2926,C->T,"Usher syndrome, type 2A",6
2927,C->T,"Usher syndrome, type 2A, Retinitis pigmentosa 39",6
2928,C->T,"Usher syndrome, type 2A, Retinitis pigmentosa 39, not provided",2
2929,C->T,"Usher syndrome, type 2A, not provided",1
2930,C->T,"VERTEBRAL, CARDIAC, RENAL, AND LIMB DEFECTS SYNDROME 1, Congenital NAD deficiency disorder",1
2931,C->T,Van der Woude syndrome,3
2932,C->T,Van der Woude syndrome 2,1
2933,C->T,Variegate porphyria,2
2934,C->T,"Ventricular fibrillation, Catecholaminergic polymorphic ventricular tachycardia, Arrhythmogenic right ventricular dysplasia, familial, 2, Catecholaminergic polymorphic ventricular tachycardia type 1, not provided",1
2935,C->T,"Visceral myopathy, not provided",1
2936,C->T,Von Hippel-Lindau syndrome,1
2937,C->T,"Von Hippel-Lindau syndrome, Erythrocytosis, familial, 2",1
2938,C->T,"Von Hippel-Lindau syndrome, Hereditary cancer-predisposing syndrome",1
2939,C->T,"Von Hippel-Lindau syndrome, not provided",2
2940,C->T,Waardenburg syndrome,2
2941,C->T,"Waardenburg syndrome type 1, not provided",1
2942,C->T,Warburg micro syndrome 1,2
2943,C->T,Warburg micro syndrome 2,1
2944,C->T,"Welander distal myopathy, not provided",1
2945,C->T,Wolcott-Rallison dysplasia,2
2946,C->T,Zimmermann-Laband syndrome 1,1
2947,C->T,mitochondrial 3-hydroxy-3-methylglutaryl-CoA synthase deficiency,1
2948,C->T,nonsyndromic cleft palate,1
2949,C->T,"not provided, Limb-girdle muscular dystrophy, type 2B, Dysferlinopathy, not provided",1
2950,C->T,"not provided, Miyoshi muscular dystrophy 1, not provided",1
2951,C->T,not specified,1
2952,C->T,"not specified, not provided",2
3361,CT->C,Alkaptonuria,1
3362,CT->C,Alstrom syndrome,1
3363,CT->C,Amyotrophic lateral sclerosis type 2,1
3364,CT->C,"Autosomal dominant retinitis pigmentosa, not provided",1
3365,CT->C,"Benign scapuloperoneal muscular dystrophy with cardiomyopathy, Dilated cardiomyopathy 1A, not provided",1
3366,CT->C,Brugada syndrome,1
3367,CT->C,Brugada syndrome 1,1
3368,CT->C,"Charcot-Marie-Tooth disease, demyelinating, type 1b",1
3369,CT->C,"Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 2",1
3370,CT->C,Chédiak-Higashi syndrome,3
3371,CT->C,D-2-hydroxyglutaric aciduria,1
3372,CT->C,D-2-hydroxyglutaric aciduria 1,1
3373,CT->C,"Deafness, autosomal recessive 32",1
3374,CT->C,"Dermatitis, atopic, 2, susceptibility to, Ichthyosis vulgaris, not provided",1
3375,CT->C,Early infantile epileptic encephalopathy,3
3376,CT->C,Early infantile epileptic encephalopathy 11,1
3377,CT->C,"Ehlers-Danlos syndrome, type 4",2
3378,CT->C,"Ehlers-Danlos syndrome, type 4, not provided",1
3379,CT->C,Familial cancer of breast,1
3380,CT->C,Familial hypercholesterolemia,1
3381,CT->C,Familial hypobetalipoproteinemia,1
3382,CT->C,Filippi syndrome,1
3383,CT->C,"Foot dorsiflexor weakness, Peroneal muscle atrophy, Distal lower limb muscle weakness, Absent muscle fiber dysferlin",1
3384,CT->C,Fumarase deficiency,1
3385,CT->C,"GATAD2B-Related Disorder, not provided",1
3386,CT->C,"Generalized epilepsy with febrile seizures plus, type 7, Hereditary sensory and autonomic neuropathy type IIA",1
3387,CT->C,"Glycogen storage disease type III, Glycogen storage disease IIIa, not provided",1
3388,CT->C,"Glycogen storage disease, type IV, Glycogen storage disease IV, classic hepatic",1
3389,CT->C,Hereditary cancer-predisposing syndrome,8
3390,CT->C,"Hereditary cancer-predisposing syndrome, Carney triad",1
3391,CT->C,"Hereditary cancer-predisposing syndrome, Lynch syndrome",1
3392,CT->C,"Hereditary cancer-predisposing syndrome, Lynch syndrome, not provided",2
3393,CT->C,Hereditary insensitivity to pain with anhidrosis,1
3394,CT->C,Hereditary nonpolyposis colon cancer,7
3395,CT->C,"Hereditary nonpolyposis colon cancer, Hereditary cancer-predisposing syndrome, Lynch syndrome",3
3396,CT->C,Homocysteinemia due to MTHFR deficiency,1
3397,CT->C,Hypermanganesemia with dystonia 1,1
3398,CT->C,"Hypotonia, infantile, with psychomotor retardation and characteristic facies 2",1
3399,CT->C,Inborn genetic diseases,1
3400,CT->C,"Infantile hypophosphatasia, Hypophosphatasia, not provided",1
3401,CT->C,Intellectual developmental disorder with dysmorphic facies and ptosis,1
3402,CT->C,Lipid proteinosis,1
3403,CT->C,Lynch syndrome,15
3404,CT->C,"Lynch syndrome, not provided",1
3405,CT->C,"MICROCEPHALY 20, PRIMARY, AUTOSOMAL RECESSIVE",1
3406,CT->C,MYH-associated polyposis,1
3407,CT->C,Mental retardation with language impairment and with or without autistic features,1
3408,CT->C,Mowat-Wilson syndrome,2
3409,CT->C,"Mowat-Wilson syndrome, not provided",1
3410,CT->C,"Mucopolysaccharidosis, MPS-IV-B, Infantile GM1 gangliosidosis, GM1 gangliosidosis type 2, Gangliosidosis GM1 type 3",1
3411,CT->C,Mucosa-associated lymphoma,1
3412,CT->C,"Multiple cutaneous leiomyomas, Hereditary cancer-predisposing syndrome, Fumarase deficiency, not provided",1
3413,CT->C,"Myofibrillar myopathy 1, Muscular dystrophy, limb-girdle, type 2R, not provided",1
3414,CT->C,"NEURODEVELOPMENTAL DISORDER, MITOCHONDRIAL, WITH ABNORMAL MOVEMENTS AND LACTIC ACIDOSIS, WITH OR WITHOUT SEIZURES",1
3415,CT->C,Nemaline myopathy 2,2
3416,CT->C,"Pheochromocytoma, Gastrointestinal stroma tumor, Paragangliomas 4",1
3417,CT->C,"Pituitary hormone deficiency, combined 1",1
3418,CT->C,Primary autosomal recessive microcephaly 5,6
3419,CT->C,"Primary dilated cardiomyopathy, Cardiomyopathy, Low-output congestive heart failure, Noncompaction cardiomyopathy",1
3420,CT->C,"Primary dilated cardiomyopathy, not provided",1
3421,CT->C,Primary pulmonary hypertension,5
3422,CT->C,Propionyl-CoA carboxylase deficiency,1
3423,CT->C,Renal hamartomas nephroblastomatosis and fetal gigantism,1
3424,CT->C,"Retinal dystrophy, early-onset severe",1
3425,CT->C,"Robinow syndrome, autosomal dominant 2",1
3426,CT->C,Salt and pepper developmental regression syndrome,1
3427,CT->C,Schimke immunoosseous dysplasia,1
3428,CT->C,"Septo-optic dysplasia sequence, Pituitary hormone deficiency, combined 1",1
3429,CT->C,Severe myoclonic epilepsy in infancy,2
3430,CT->C,"Spastic paraplegia 63, autosomal recessive",1
3431,CT->C,"Spinocerebellar ataxia, autosomal recessive 10, not provided",1
3432,CT->C,Stargardt disease 1,1
3433,CT->C,"Stargardt disease 1, Cone-rod dystrophy 3",1
3434,CT->C,"Symmetrical dyschromatosis of extremities, Aicardi-Goutieres syndrome 6",1
3435,CT->C,Tumor susceptibility linked to germline BAP1 mutations,2
3436,CT->C,"Ullrich congenital muscular dystrophy 1, not provided",1
3437,CT->C,Usher syndrome,1
3438,CT->C,"Usher syndrome, type 2A",1
3439,CT->C,"Ventricular tachycardia, catecholaminergic polymorphic, 2",1
3440,CT->C,Von Hippel-Lindau syndrome,1
3441,CT->C,Xanthinuria type 2,2
3442,CT->C,mitochondrial 3-hydroxy-3-methylglutaryl-CoA synthase deficiency,1
3443,CT->C,not specified,1
3444,CT->C,"not specified, not provided",1
3563,G->A,3 beta-Hydroxysteroid dehydrogenase deficiency,2
3564,G->A,3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency,4
3565,G->A,"3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency, not provided",1
3566,G->A,"3-methylglutaconic aciduria, type VIII",1
3567,G->A,"46,XX gonadal dysgenesis, OVARIAN DYSGENESIS 7",1
3568,G->A,"Abnormal blistering of the skin, Porphyrinuria, Abdominal colic",1
3569,G->A,"Abnormality of the dentition, Microcephaly, Abnormality of dental enamel, Hyperpigmentation of the skin, Failure to thrive, Alopecia of scalp, Distal muscle weakness, EMG abnormality, Short stature, Decreased body weight, Scarring alopecia of scalp, Abnormal blistering of the skin, Nail dystrophy, Scarring, Epidermolysis bullosa dystrophica inversa, autosomal recessive, not provided",1
3570,G->A,"Abnormality of the dentition, Microcephaly, Abnormality of dental enamel, Hyperpigmentation of the skin, Failure to thrive, Alopecia of scalp, Distal muscle weakness, EMG abnormality, Short stature, Decreased body weight, Scarring alopecia of scalp, Abnormal blistering of the skin, Nail dystrophy, Scarring, Recessive dystrophic epidermolysis bullosa, Epidermolysis bullosa dystrophica inversa, autosomal recessive",1
3571,G->A,"Abnormality of the eye, not provided",1
3572,G->A,"Abnormality of the skin, Toe syndactyly, Anonychia, Short stature, Finger syndactyly, Palmoplantar blistering, Abnormal blistering of the skin, Nail dystrophy, Skin erosion, not provided",1
3573,G->A,Achromatopsia,2
3574,G->A,Achromatopsia 2,1
3575,G->A,"Achromatopsia 2, not provided",1
3576,G->A,Achromatopsia 4,1
3577,G->A,Acrocapitofemoral dysplasia,1
3578,G->A,Acute myeloid leukemia with maturation,1
3579,G->A,"Acute myeloid leukemia, Leukemia, acute myeloid, susceptibility to, Dendritic cell, monocyte, B lymphocyte, and natural killer lymphocyte deficiency",1
3580,G->A,"Acute myeloid leukemia, Myelodysplastic syndrome, Leukemia, acute myeloid, susceptibility to, Lymphedema, primary, with myelodysplasia, Dendritic cell, monocyte, B lymphocyte, and natural killer lymphocyte deficiency",1
3581,G->A,"Acute neuronopathic Gaucher's disease, Gaucher's disease, type 1",1
3582,G->A,"Acyl-CoA dehydrogenase family, member 9, deficiency of",1
3583,G->A,Adolescent nephronophthisis,1
3584,G->A,"Adolescent nephronophthisis, Meckel syndrome type 7, Renal-hepatic-pancreatic dysplasia",1
3585,G->A,"Adolescent nephronophthisis, Renal-hepatic-pancreatic dysplasia",1
3586,G->A,Adult junctional epidermolysis bullosa,1
3587,G->A,Aicardi Goutieres syndrome 1,1
3588,G->A,"Aicardi Goutieres syndrome 1, Aicardi Goutieres syndrome 1, autosomal dominant",1
3589,G->A,"Aicardi Goutieres syndrome 1, Aicardi Goutieres syndrome 1, autosomal dominant, Chilblain lupus 1, not provided",1
3590,G->A,Aicardi-Goutieres syndrome 6,1
3591,G->A,Aicardi-Goutieres syndrome 7,2
3592,G->A,"Aicardi-Goutieres syndrome 7, not provided",1
3593,G->A,"Alacrima, achalasia, and mental retardation syndrome",2
3594,G->A,Alagille syndrome 2,2
3595,G->A,"Alagille syndrome 2, not provided",1
3596,G->A,Alkaptonuria,2
3597,G->A,"Alport syndrome 3, autosomal dominant",2
3598,G->A,"Alport syndrome 3, autosomal dominant, Alport syndrome, autosomal recessive, not provided",1
3599,G->A,"Alport syndrome, autosomal recessive",3
3600,G->A,"Alport syndrome, autosomal recessive, not provided",2
3601,G->A,Alstrom syndrome,3
3602,G->A,"Alzheimer disease, type 4, not provided",1
3603,G->A,"Amelogenesis imperfecta, type IH",1
3604,G->A,Aminoacylase 1 deficiency,1
3605,G->A,"Amyotrophic lateral sclerosis 19, not provided",1
3606,G->A,Amyotrophic lateral sclerosis 22 with frontotemporal dementia,1
3607,G->A,Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia,1
3608,G->A,Amyotrophic lateral sclerosis type 10,2
3609,G->A,"Amyotrophic lateral sclerosis type 10, FRONTOTEMPORAL DEMENTIA WITH TDP43 INCLUSIONS, TARDBP-RELATED",1
3610,G->A,"Amyotrophic lateral sclerosis type 10, not provided",1
3611,G->A,"Anadysplasia-like, spontaneously remitting spondylometaphyseal dysplasia",1
3612,G->A,"Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive",1
3613,G->A,Anterior segment dysgenesis 7,2
3614,G->A,"Aortic aneurysm, familial thoracic 7",3
3615,G->A,Aplastic anemia,2
3616,G->A,"Asphyxiating thoracic dystrophy 4, not provided",1
3617,G->A,Atelosteogenesis type 1,1
3618,G->A,Atransferrinemia,2
3619,G->A,"Atrial fibrillation, familial, 11",1
3620,G->A,"Atrial fibrillation, somatic",1
3621,G->A,"Autoimmune lymphoproliferative syndrome, type III",2
3622,G->A,Autosomal dominant epilepsy,1
3623,G->A,Autosomal recessive centronuclear myopathy,2
3624,G->A,"Autosomal recessive congenital ichthyosis 4B, Autosomal recessive congenital ichthyosis 4A, not provided",1
3625,G->A,"Autosomal recessive congenital ichthyosis 4B, not provided",2
3626,G->A,Autosomal recessive non-syndromic sensorineural deafness type DFNB,1
3627,G->A,"BARTTER SYNDROME, TYPE 4B, WITH SENSORINEURAL DEAFNESS",1
3628,G->A,Bardet-Biedl syndrome,1
3629,G->A,Bardet-Biedl syndrome 5,2
3630,G->A,Bartter syndrome type 3,1
3631,G->A,Bartter syndrome type 4,3
3632,G->A,"Bartter syndrome, type 3, with hypocalciuria, not provided",1
3633,G->A,"Basal cell carcinoma, somatic",1
3634,G->A,"Basal ganglia calcification, idiopathic, 6",1
3635,G->A,Benign familial hematuria,2
3636,G->A,Benign familial neonatal-infantile seizures,1
3637,G->A,"Benign familial neonatal-infantile seizures, Early infantile epileptic encephalopathy 11, not provided",1
3638,G->A,"Benign familial neonatal-infantile seizures, not provided",1
3639,G->A,"Benign recurrent intrahepatic cholestasis 2, Progressive familial intrahepatic cholestasis 2, not provided",1
3640,G->A,"Benign recurrent intrahepatic cholestasis 2, not provided",2
3641,G->A,"Benign scapuloperoneal muscular dystrophy with cardiomyopathy, Emery-Dreifuss muscular dystrophy 3, autosomal recessive",1
3642,G->A,Beta-hydroxyisobutyryl-CoA deacylase deficiency,1
3643,G->A,Bethlem myopathy 1,3
3644,G->A,"Bethlem myopathy 1, not provided",1
3645,G->A,"Bile acid synthesis defect, congenital, 6",1
3646,G->A,Biotin-thiamine-responsive basal ganglia disease,1
3647,G->A,Biotinidase deficiency,14
3648,G->A,"Biotinidase deficiency, not provided",1
3649,G->A,"Blepharophimosis, ptosis, and epicanthus inversus",1
3650,G->A,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1",1
3651,G->A,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1, not provided",1
3652,G->A,"Blepharophimosis, ptosis, and epicanthus inversus, Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1",1
3653,G->A,"Blepharophimosis, ptosis, and epicanthus inversus, not provided",1
3654,G->A,Bruck syndrome 2,1
3655,G->A,Brugada syndrome 1,1
3656,G->A,"Brugada syndrome, Cardiovascular phenotype, not provided",1
3657,G->A,"Brugada syndrome, Long QT syndrome 3, not provided",1
3658,G->A,"Brugada syndrome, not provided",2
3659,G->A,"Butyrylcholinesterase deficiency, fluoride 1",1
3660,G->A,C1q deficiency,4
3661,G->A,"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY",1
3662,G->A,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID",1
3663,G->A,Carcinoma of colon,1
3664,G->A,Cardiac conduction disease with or without dilated cardiomyopathy,1
3665,G->A,"Cardiomyopathy, Dilated cardiomyopathy 1AA, Familial hypertrophic cardiomyopathy 23",1
3666,G->A,"Cardiomyopathy, dilated, 1NN",1
3667,G->A,"Cardiovascular phenotype, not provided",1
3668,G->A,Carnevale syndrome,1
3669,G->A,"Carnitine acylcarnitine translocase deficiency, not provided",2
3670,G->A,Carnitine palmitoyltransferase II deficiency,1
3671,G->A,"Carnitine palmitoyltransferase II deficiency, lethal neonatal",1
3672,G->A,Cataract 1,3
3673,G->A,"Cataract 34, multiple types",1
3674,G->A,Cataract 4,3
3675,G->A,"Cataract 6, multiple types",1
3676,G->A,"Cataract, autosomal recessive congenital 2",3
3677,G->A,Catecholaminergic polymorphic ventricular tachycardia,1
3678,G->A,"Catecholaminergic polymorphic ventricular tachycardia, Catecholaminergic polymorphic ventricular tachycardia type 1, not provided",1
3679,G->A,"Catecholaminergic polymorphic ventricular tachycardia, Ventricular tachycardia, catecholaminergic polymorphic, 2, not provided",1
3680,G->A,"Catecholaminergic polymorphic ventricular tachycardia, not provided",1
3681,G->A,Central centrifugal cicatricial alopecia,2
3682,G->A,Cerebral cavernous malformations 3,1
3683,G->A,"Cerebral cavernous malformations 3, not provided",1
3684,G->A,"Charcot-Marie-Tooth disease, Charcot-Marie-Tooth disease, demyelinating, type 1b, Charcot-Marie-Tooth disease, type I, Charcot-Marie-Tooth disease type 2J, not provided",1
3685,G->A,"Charcot-Marie-Tooth disease, Spinal muscular atrophy, distal, autosomal recessive, 5",1
3686,G->A,"Charcot-Marie-Tooth disease, axonal, type 2T",1
3687,G->A,"Charcot-Marie-Tooth disease, axonal, type 2b, not provided",1
3688,G->A,"Charcot-Marie-Tooth disease, demyelinating, type 1b",3
3689,G->A,"Charcot-Marie-Tooth disease, demyelinating, type 1b, Charcot-Marie-Tooth disease, type I, Charcot-Marie-Tooth disease type 2I",1
3690,G->A,"Charcot-Marie-Tooth disease, demyelinating, type 1b, Charcot-Marie-Tooth disease, type I, Charcot-Marie-Tooth disease, type 1b, with focally folded myelin sheaths, not provided",1
3691,G->A,"Charcot-Marie-Tooth disease, demyelinating, type 1b, Charcot-Marie-Tooth disease, type I, not provided",1
3692,G->A,"Charcot-Marie-Tooth disease, recessive intermediate c",1
3693,G->A,"Charcot-Marie-Tooth disease, type 2",3
3694,G->A,"Charcot-Marie-Tooth disease, type 2, Charcot-Marie-Tooth disease, type 2A2A",1
3695,G->A,"Charcot-Marie-Tooth disease, type 2, Charcot-Marie-Tooth disease, type 2A2A, not provided",2
3696,G->A,"Charcot-Marie-Tooth disease, type 2, Familial partial lipodystrophy 2, Emery-Dreifuss muscular dystrophy 3, autosomal recessive, Monogenic diabetes, Partial lipodystrophy, Dunnigan, Laminopathy, not provided",1
3697,G->A,"Charcot-Marie-Tooth disease, type 2, Mandibuloacral dysostosis, Mandibuloacral dysplasia with type A lipodystrophy, atypical, Mandibuloacral dysplasia, not provided",1
3698,G->A,"Charcot-Marie-Tooth disease, type 2, not provided",4
3699,G->A,"Charcot-Marie-Tooth disease, type I",3
3700,G->A,Cholestanol storage disease,7
3701,G->A,"Cholestanol storage disease, not provided",4
3702,G->A,Chondrodysplasia Blomstrand type,1
3703,G->A,Chromosome 2q32-q33 deletion syndrome,3
3704,G->A,"Chromosome 2q32-q33 deletion syndrome, not provided",1
3705,G->A,"Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 2",3
3706,G->A,Chronic intestinal pseudoobstruction,1
3707,G->A,Chédiak-Higashi syndrome,5
3708,G->A,"Chédiak-Higashi syndrome, Chediak-Higashi syndrome, childhood type",2
3709,G->A,"Ciliary dyskinesia, primary, 22",1
3710,G->A,Clear cell carcinoma of kidney,1
3711,G->A,"Cleft palate, isolated, Chromosome 2q32-q33 deletion syndrome, History of neurodevelopmental disorder",1
3712,G->A,"Cleft palate, psychomotor retardation, and distinctive facial features",1
3713,G->A,"Coenzyme Q10 deficiency, primary, 4",5
3714,G->A,"Colon cancer, Hereditary nonpolyposis colon cancer, Hereditary cancer-predisposing syndrome",1
3715,G->A,Combined oxidative phosphorylation deficiency 28,1
3716,G->A,Combined oxidative phosphorylation deficiency 5,1
3717,G->A,Common variable immunodeficiency 7,1
3718,G->A,Complement component 8 deficiency type 2,3
3719,G->A,"Complement component 8 deficiency type 2, not provided",1
3720,G->A,Cone-rod dystrophy 3,2
3721,G->A,"Cone-rod dystrophy 3, not provided",1
3722,G->A,Cone-rod dystrophy amelogenesis imperfecta,1
3723,G->A,"Cone/cone-rod dystrophy, Stargardt disease 1, not provided",1
3724,G->A,Congenital amegakaryocytic thrombocytopenia,1
3725,G->A,"Congenital anomalies of kidney and urinary tract 1, susceptibility to",1
3726,G->A,Congenital cataract,1
3727,G->A,"Congenital cataract, Cataract, coppock-like",1
3728,G->A,Congenital disorder of deglycosylation,3
3729,G->A,"Congenital disorder of deglycosylation, not provided",1
3730,G->A,Congenital disorder of glycosylation type 1C,1
3731,G->A,"Congenital disorder of glycosylation type 1C, not provided",1
3732,G->A,Congenital disorder of glycosylation type 1N,1
3733,G->A,Congenital disorder of glycosylation type 1bb,1
3734,G->A,Congenital disorder of glycosylation type 2B,1
3735,G->A,"Congenital hyperammonemia, type I",2
3736,G->A,"Congenital hypothyroidism, Deficiency of iodide peroxidase",1
